time_ms,value,temperature_C
55941,259,25.00
56086,259,25.00
56230,259,25.00
56375,258,25.00
56519,258,25.00
56664,259,25.00
56808,258,25.00
56953,259,25.00
57097,259,25.00
57242,259,25.00
57386,259,25.00
57531,259,25.00
57676,258,25.00
57820,258,25.00
57965,258,25.00
58109,259,25.00
58254,258,25.00
58398,259,25.00
58543,259,25.00
58688,258,25.00
58835,259,25.00
58979,259,25.00
59126,258,25.00
59270,259,25.00
59415,258,25.00
59559,259,25.00
59704,258,25.00
59848,258,25.00
59993,259,25.00
60137,258,25.00
60282,258,25.00
60426,259,25.00
60571,259,25.00
60716,258,25.00
60860,258,25.00
61005,258,25.00
61149,258,25.00
61294,258,25.00
61438,259,25.00
61583,259,25.00
61727,258,25.00
61872,259,25.00
62016,259,25.00
62161,259,25.00
62305,259,25.00
62450,258,25.00
62595,259,25.00
62739,259,25.00
62884,259,25.00
63028,259,25.00
63177,258,25.00
63322,259,25.00
63466,259,25.00
63610,259,25.00
63755,259,25.00
63899,259,25.00
64044,258,25.00
64188,258,25.00
64332,258,25.00
64477,259,25.00
64621,259,25.00
64766,259,25.00
64910,259,25.00
65055,259,25.00
65199,258,25.00
65344,259,25.00
65488,258,25.00
65632,259,25.00
65777,258,25.00
65921,258,25.00
66066,258,25.00
66210,258,25.00
66354,258,25.00
66499,259,25.00
66643,258,25.00
66788,259,25.00
66932,259,25.00
67077,258,25.00
67223,259,25.00
67367,259,25.00
67522,258,25.00
67666,259,25.00
67811,258,25.00
67955,260,25.00
68099,258,25.00
68244,258,25.00
68388,259,25.00
68532,259,25.00
68677,259,25.00
68821,258,25.00
68966,259,25.00
69110,259,25.00
69255,258,25.00
69399,259,25.00
69543,258,25.00
69688,259,25.00
69832,259,25.00
69977,259,25.00
70121,258,25.00
70265,259,25.00
70410,259,25.00
70554,259,25.00
70699,258,25.00
70843,259,25.00
70989,259,25.00
71134,259,25.00
71278,259,25.00
71422,259,25.00
71567,258,25.00
71711,259,25.00
71856,258,25.00
72003,258,25.00
72147,258,25.00
72292,259,25.00
72436,259,25.00
